FIPS,"2,4-D","2,4-DB",ACETOCHLOR,ALACHLOR,ATRAZINE,BENTAZONE,BIFENTHRIN,BROMOXYNIL,CARBARYL,CARBOFURAN,CHLOROTHALONIL,CHLORPYRIFOS,CLETHODIM,CLOPYRALID,CYFLUTHRIN,CYHALOTHRIN-LAMBDA,DICAMBA,DIMETHENAMID,DIMETHOATE,ESFENVALERATE,ETHALFLURALIN,GLYPHOSATE,IMAZETHAPYR,MALATHION,METOLACHLOR-S,METRIBUZIN,NICOSULFURON,PARAQUAT,PENDIMETHALIN,PERMETHRIN,PICLORAM,PROPICONAZOLE,RIMSULFURON,SETHOXYDIM,TERBUFOS,THIFENSULFURON,TRICLOPYR,TRIFLURALIN,ZETA-CYPERMETHRIN
01001,5.917279648918606,6.521651524352593,4.585987366571318,5.481888142742423,6.335408798567896,3.6270040503958487,1.791759469228055,3.380994674344636,6.869637956869009,4.133565275375382,7.36846586131628,6.791895392887602,2.151762203259462,1.5686159179138452,0.5877866649021191,3.708682081410116,5.100475998096045,3.6216707044204863,4.189654742026425,3.8815637979434374,4.648229675448539,8.950468000163669,1.33500106673234,5.828357209237832,6.755419617678439,2.509599262378372,0.7419373447293773,6.568499170984308,6.871298741971522,3.6686767467964168,3.258096538021482,3.1945831322991562,0.26236426446749106,4.473921899378137,5.242275975664412,0.5877866649021191,4.446174454497633,5.899349258200177,3.66612246699132
01003,7.550818959374095,8.419602413022773,5.4475990692637914,6.834646807161499,8.70662275966957,4.976043849326636,3.5263605246161616,5.529429087511423,6.361647841071506,5.7196558238124915,7.587918531983788,8.810056816408446,3.713572066704308,2.2925347571405443,2.4849066497880004,3.8649313978942956,6.066108090103747,,6.312823145919147,5.227358277607543,7.659690101025171,9.725938588780311,3.2809112157876537,6.820998415055855,8.08403823348641,7.098788776378113,1.6863989535702288,6.742880635791903,7.936552930034552,4.789988622980633,3.520460802488973,5.296315363877364,0.4054651081081644,5.071416766356115,7.036676059048976,2.8791984572980396,7.49681890599876,7.386594756890272,5.1298987149230735
01005,6.510853401534461,7.303035362031936,4.739701078945697,5.02256386496153,6.727311957199955,4.690430029938915,2.066862759472976,3.686376323895818,5.266826699456666,4.73707525686803,9.651256275506402,5.409411414053624,2.8154087194227095,1.6863989535702288,1.0296194171811583,3.086486636822455,4.56746831880408,4.6839813664123815,4.314817884980432,2.995732273553991,7.551029209046355,8.55643313515384,1.2809338454620642,5.276071757600717,6.6814818346589995,4.104294893075269,0.26236426446749106,5.849612922867741,7.737747107269926,2.791165107812717,3.517497837358316,6.233233562545356,0.18232155679395465,3.100092288878234,6.186208623900494,0.5306282510621704,6.2865565977347755,7.307068167605103,2.4849066497880004
01007,6.23421462806111,5.393172897560715,2.3608540011180215,3.597312260588446,5.939644798378185,,,,2.6946271807700692,2.2192034840549946,2.5877640352277083,3.735285826928092,,0.26236426446749106,,0.09531017980432487,4.334672938290411,1.3862943611198906,0.9162907318741551,0.26236426446749106,0.33647223662121295,5.599532453282402,0.33647223662121295,1.2237754316221157,3.332204510175204,0.6418538861723948,0.09531017980432487,4.551769409260976,2.0794415416798357,0.8754687373538999,3.0819099697950434,0.7419373447293773,0.09531017980432487,0.26236426446749106,1.1939224684724346,,4.464758032271346,0.26236426446749106,0.18232155679395465
01009,8.873846135112966,5.442417710521793,4.446174454497633,5.340418542566672,6.612041034833092,4.533674184283021,,2.5726122302071057,5.027820118850356,5.155601064346442,7.636800350539066,6.187647916839409,0.4700036292457355,1.1631508098056809,0.8754687373538999,3.4111477125153233,5.242275975664412,3.3214324131932926,3.4404180948154366,2.772588722239781,4.366912996863833,8.128555701414331,2.028148247292285,3.2068032436339315,5.928790952579924,4.091005660956586,0.5877866649021191,5.610935924289849,5.633002292595154,4.456670177669648,6.939157042121669,3.5115454388310208,0.18232155679395465,3.299533727885655,3.2188758248682006,0.26236426446749106,4.432006566978902,5.2295030505476765,2.0918640616783932
01011,4.826712455935327,6.688105616922183,3.332204510175204,4.529368472571809,5.136386499401816,2.4932054526026954,0.8754687373538999,1.6094379124341003,5.389984555073861,2.0149030205422647,6.2941583771802,5.753207357983724,0.9932517730102833,0.6931471805599453,0.09531017980432487,1.8870696490323797,5.503296947234575,2.4069451083182885,4.354141431184346,1.7578579175523736,2.0412203288596382,7.506536833506361,0.9162907318741551,3.475067230228611,5.261653382176445,2.1400661634962708,0.26236426446749106,6.015181073725298,5.311233591814583,1.6094379124341003,3.8815637979434374,3.367295829986474,0.09531017980432487,1.7404661748405046,3.686376323895818,0.09531017980432487,5.648269764725942,4.580877493419047,2.5572273113676265
01013,6.007583928987866,6.137727054086234,4.483002552013883,4.892602227184663,7.562057675718515,2.9601050959108397,2.533696813957432,2.8154087194227095,5.1375615876686425,3.8394523125933104,5.35517017814082,6.538573882951219,1.8082887711792655,1.4816045409242156,1.0986122886681098,2.2300144001592104,5.684599655239428,,3.3568971227655755,2.5494451709255714,5.696757859719236,7.953564361990354,1.2237754316221157,5.426710581316436,5.735604086979157,3.186352633162641,0.9932517730102833,5.060694493968993,6.197054939174603,2.2823823856765264,3.246490991901174,2.4595888418037104,0.18232155679395465,2.174751721484161,5.939644798378185,0.33647223662121295,4.929425238670713,5.34185566856252,3.186352633162641
01015,8.341743965964689,4.645351975620923,4.212127597878484,5.164214382024556,6.3826616834184415,4.772378104971998,,2.5649493574615367,3.126760535960395,3.100092288878234,3.8110970868381857,4.592084946439436,0.7419373447293773,0.9932517730102833,0.832909122935104,3.5115454388310208,4.437934266612178,3.095577608523707,3.005682604407159,0.9932517730102833,1.2809338454620642,8.057789187137113,2.1633230256605382,1.5686159179138452,5.923453336491439,3.086486636822455,0.5306282510621704,5.268888555857225,5.495937960631161,2.1400661634962708,6.105462651161393,1.4350845252893227,0.18232155679395465,2.1041341542702074,2.990719731730447,0.4700036292457355,3.6136169696133895,5.10594547390058,2.0794415416798357
01017,7.129217417513809,6.220590170099739,2.302585092994046,3.535145354171894,5.8771754007058545,,,,3.292126286607793,3.0106208860477417,3.169685580677429,3.835141961092188,,0.18232155679395465,,1.6486586255873816,5.153291594497779,1.33500106673234,1.0986122886681098,0.4054651081081644,1.0986122886681098,6.459747947608298,0.33647223662121295,1.8562979903656263,3.288401887516811,0.5306282510621704,0.09531017980432487,5.243333058215277,2.272125885509337,1.308332819650179,3.879499813722586,1.308332819650179,0.09531017980432487,0.9932517730102833,1.1314021114911006,0.33647223662121295,5.2611345754203205,1.0296194171811583,0.33647223662121295
01019,8.437088815174567,4.601162164590552,5.0238805208462765,6.094246741751008,7.280352783464685,5.7791991139409555,,4.460144413937834,2.501435951739211,3.58351893845611,4.677490847567717,5.896604266084022,1.3609765531356006,1.589235205116581,2.1633230256605382,5.159629846774143,4.411585436915426,3.8877303128591016,4.859812404361672,2.4159137783010487,1.3862943611198906,9.74068034619646,3.0106208860477417,1.7404661748405046,7.523805409157116,3.8732821771117156,0.9162907318741551,6.169610732491456,7.274964541635769,2.501435951739211,6.003640123038116,1.4350845252893227,0.33647223662121295,2.7212954278522306,3.7819143200811256,0.6418538861723948,3.5145260669691587,6.100767281998432,3.8649313978942956
01021,7.295735072749282,6.278896588304554,3.949318790171843,5.413430173648541,7.629635678364955,2.4336133554004498,,1.6094379124341003,6.155282632337377,5.243861180751978,7.13966033596492,6.824047529908652,0.5306282510621704,0.832909122935104,0.33647223662121295,2.9231615807191558,5.218732887205194,2.8390784635086144,2.1972245773362196,3.883623530906448,4.216562194946349,8.351752350230317,1.9878743481543455,5.903452669784769,6.048081147526878,2.9856819377004897,0.26236426446749106,7.105047546705913,5.44544343143833,6.217005223021913,3.927896354584436,5.370172803648464,0.26236426446749106,4.072439726834051,2.580216829592325,0.33647223662121295,5.288771953704505,6.094246741751008,1.8718021769015913
01023,5.051777237427431,5.099256485749784,2.379546134130174,2.766319109226186,5.508173023535311,1.3609765531356006,0.9555114450274363,1.4586150226995167,4.735320870453137,2.6100697927420065,4.995860008514102,3.8110970868381857,0.4054651081081644,0.33647223662121295,0.4054651081081644,1.1314021114911006,4.993828175779875,,1.840549633397487,2.1633230256605382,2.0541237336955462,6.575215300888529,,4.238444906195857,4.069026754237811,0.6418538861723948,0.18232155679395465,3.4965075614664802,4.051784947803305,1.0647107369924282,2.6026896854443837,0.832909122935104,,1.0647107369924282,3.885679030088544,,3.7184382563554808,3.484312288372662,1.9021075263969205
01025,5.423186348593906,5.404927101606295,3.044522437723423,3.1570004211501135,6.147399348728742,0.6931471805599453,1.3862943611198906,2.1400661634962708,5.599902344168809,3.1945831322991562,5.46721590300985,4.2710950739666,0.7884573603642702,0.5877866649021191,0.7884573603642702,1.7578579175523736,5.300814246746624,,2.151762203259462,2.5572273113676265,2.2925347571405443,7.3834302954651045,,5.121580188047982,4.623991940228679,1.0647107369924282,0.33647223662121295,4.222444564849416,4.757032535297338,1.62924053973028,2.8903717578961645,1.33500106673234,,0.9162907318741551,4.535820107853298,,4.039536325727106,4.11251186617755,2.624668592163159
01027,7.310683839438305,6.475740835640436,2.954910279033736,4.259859000699674,6.585481761760737,,,,2.066862759472976,2.302585092994046,2.5257286443082556,4.257030144499196,,0.4054651081081644,,0.09531017980432487,5.4089638866351,1.916922612182061,0.9162907318741551,0.4700036292457355,1.0986122886681098,6.551794365777062,0.6418538861723948,1.7749523509116738,3.919991175077323,0.4700036292457355,0.09531017980432487,5.389984555073861,2.624668592163159,1.547562508716013,4.097672352314776,0.7884573603642702,0.09531017980432487,0.9932517730102833,1.667706820558076,,5.352805551832106,1.0296194171811583,0.18232155679395465
