FIPS_Code,State,Decade,Unemployment_rate_
06007,CA,2000,7.609999999999999
06009,CA,2000,7.32
06011,CA,2000,13.51
06013,CA,2000,5.529999999999999
06015,CA,2000,8.370000000000001
06017,CA,2000,5.74
06019,CA,2000,10.620000000000001
06021,CA,2000,9.68
06023,CA,2000,6.779999999999999
06025,CA,2000,18.119999999999997
06027,CA,2000,5.61
06029,CA,2000,9.55
06031,CA,2000,10.73
06033,CA,2000,9.120000000000001
06035,CA,2000,8.41
06037,CA,2000,6.58
06039,CA,2000,9.42
06041,CA,2000,4.41
06043,CA,2000,6.83
06045,CA,2000,6.5200000000000005
06047,CA,2000,11.27
06049,CA,2000,8.59
06051,CA,2000,5.38
06053,CA,2000,8.32
06055,CA,2000,4.75
06057,CA,2000,5.59
06059,CA,2000,4.67
06061,CA,2000,5.29
06063,CA,2000,9.379999999999999
06065,CA,2000,6.840000000000001
06067,CA,2000,5.9799999999999995
06069,CA,2000,8.76
06071,CA,2000,6.4799999999999995
06073,CA,2000,5.2
06075,CA,2000,5.59
06077,CA,2000,9.059999999999999
06079,CA,2000,4.95
06081,CA,2000,4.83
06083,CA,2000,5.04
06085,CA,2000,6.279999999999999
06087,CA,2000,6.970000000000001
06089,CA,2000,8.1
06091,CA,2000,9.1
06093,CA,2000,9.4
06095,CA,2000,6.029999999999999
06097,CA,2000,5.09
06099,CA,2000,9.709999999999999
06101,CA,2000,10.97
06103,CA,2000,7.94
06105,CA,2000,11.14
06107,CA,2000,11.11
06109,CA,2000,7.140000000000001
06111,CA,2000,5.66
06113,CA,2000,6.4
06115,CA,2000,10.34
08000,CO,2000,4.970000000000001
08001,CO,2000,5.59
08003,CO,2000,5.0600000000000005
08005,CO,2000,4.9399999999999995
08007,CO,2000,5.029999999999999
08009,CO,2000,3.3299999999999996
08011,CO,2000,5.88
08013,CO,2000,4.46
08014,CO,2000,4.85
08015,CO,2000,4.87
08017,CO,2000,2.82
08019,CO,2000,4.7299999999999995
08021,CO,2000,6.85
08023,CO,2000,8.95
08025,CO,2000,7.290000000000001
08027,CO,2000,4.7
08029,CO,2000,4.88
08031,CO,2000,5.66
08033,CO,2000,7.32
08035,CO,2000,4.220000000000001
08037,CO,2000,4.0200000000000005
08039,CO,2000,4.55
08041,CO,2000,5.36
08043,CO,2000,6.2
08045,CO,2000,3.95
08047,CO,2000,4.55
08049,CO,2000,3.84
08051,CO,2000,3.8600000000000003
08053,CO,2000,3.2399999999999998
08055,CO,2000,7.0200000000000005
08057,CO,2000,3.69
08059,CO,2000,4.75
08061,CO,2000,3.88
08063,CO,2000,3.28
08065,CO,2000,5.17
08067,CO,2000,3.8
08069,CO,2000,4.279999999999999
08071,CO,2000,5.13
08073,CO,2000,3.71
08075,CO,2000,3.81
08077,CO,2000,4.8
08079,CO,2000,4.83
08081,CO,2000,4.4799999999999995
08083,CO,2000,5.220000000000001
08085,CO,2000,5.08
08087,CO,2000,4.13
08089,CO,2000,5.83
08091,CO,2000,3.7399999999999998
08093,CO,2000,4.67
08095,CO,2000,3.29
08097,CO,2000,4.07
08099,CO,2000,4.43
08101,CO,2000,6.33
08103,CO,2000,3.2700000000000005
08105,CO,2000,5.470000000000001
08107,CO,2000,3.7600000000000002
08109,CO,2000,6.709999999999999
08111,CO,2000,6.11
08113,CO,2000,4.34
08115,CO,2000,3.22
08117,CO,2000,3.84
08119,CO,2000,5.12
08121,CO,2000,3.37
08123,CO,2000,5.11
08125,CO,2000,2.8
09000,CT,2000,4.76
09001,CT,2000,4.35
09003,CT,2000,5.15
09005,CT,2000,4.5
09007,CT,2000,4.09
09009,CT,2000,5.17
09011,CT,2000,4.42
09013,CT,2000,3.96
09015,CT,2000,5.32
10000,DE,2000,4.57
10001,DE,2000,4.4399999999999995
10003,DE,2000,4.66
10005,DE,2000,4.35
11000,DC,2000,7.07
11001,DC,2000,7.07
12000,FL,2000,4.54
12001,FL,2000,3.3600000000000003
12003,FL,2000,4.12
12005,FL,2000,4.51
12007,FL,2000,3.84
12009,FL,2000,4.63
12011,FL,2000,4.39
12013,FL,2000,4.4
12015,FL,2000,5.09
12017,FL,2000,5.56
12019,FL,2000,4.04
12021,FL,2000,4.57
12023,FL,2000,4.38
12027,FL,2000,5.08
12029,FL,2000,5.029999999999999
12031,FL,2000,4.63
12033,FL,2000,4.55
12035,FL,2000,5.79
12037,FL,2000,3.85
12039,FL,2000,4.63
12041,FL,2000,4.12
12043,FL,2000,5.09
12045,FL,2000,4.67
12047,FL,2000,5.4
12049,FL,2000,5.68
12051,FL,2000,7.720000000000001
12053,FL,2000,5.85
12055,FL,2000,5.16
12057,FL,2000,4.5
12059,FL,2000,4.42
12061,FL,2000,6.04
12063,FL,2000,4.1
12065,FL,2000,3.87
12067,FL,2000,3.8
12069,FL,2000,4.68
12071,FL,2000,4.65
12073,FL,2000,3.5
12075,FL,2000,4.92
12077,FL,2000,3.4799999999999995
12079,FL,2000,5.16
12081,FL,2000,4.5
12083,FL,2000,5.14
12085,FL,2000,4.95
12086,FL,2000,4.08
12087,FL,2000,3.16
12089,FL,2000,4.08
12091,FL,2000,3.4899999999999998
12093,FL,2000,5.87
12095,FL,2000,4.42
12097,FL,2000,4.720000000000001
12099,FL,2000,5.0200000000000005
12101,FL,2000,5.15
12103,FL,2000,4.61
12105,FL,2000,4.99
12107,FL,2000,5.3
12109,FL,2000,3.72
12111,FL,2000,6.18
12113,FL,2000,4.24
12115,FL,2000,4.49
12117,FL,2000,4.2299999999999995
12119,FL,2000,4.470000000000001
12121,FL,2000,4.34
12123,FL,2000,5.37
12125,FL,2000,3.75
12127,FL,2000,4.6
12129,FL,2000,3.44
12131,FL,2000,3.4799999999999995
12133,FL,2000,4.8100000000000005
13000,GA,2000,5.6
13001,GA,2000,7.05
13003,GA,2000,7.4799999999999995
13005,GA,2000,6.05
13007,GA,2000,5.75
13009,GA,2000,6.38
13011,GA,2000,4.29
13013,GA,2000,5.409999999999999
13015,GA,2000,6.24
13017,GA,2000,7.58
13019,GA,2000,5.5200000000000005
13021,GA,2000,5.9799999999999995
13023,GA,2000,6.55
13025,GA,2000,6.01
